1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.154781984689458252e+00 1.664115691879810638e-23 1.167668571909721807e-08 2.090409624541918777e-08 2.154865911254188050e-10 3.416225577226583856e-13 1.263839693746704545e-11 2.111582952349808953e-10 1.797352192511672964e-09 8.750928805569240515e-09 2.705751426606695240e-08 5.813274396342890875e-08 9.351895307253412465e-08 1.196650827222992058e-07 1.277721489145982724e-07 1.181764223654866114e-07 9.742495746789479628e-08 7.313556629880263914e-08 5.076469387711492172e-08 3.291540662153470212e-08 2.004983488095119138e-08 1.149090759945111317e-08 6.180289122246719918e-09 3.098072163787825399e-09 1.430711349322378327e-09 5.983110166162003308e-10 2.212243205673365563e-10 7.002621283386697224e-11 1.818131395175173555e-11 3.660200214297901109e-12 5.308648946024374089e-13 5.040680791552855053e-14 2.766743355582041944e-15 7.468399062467295209e-17 8.038308393024735949e-19 2.627823858881608450e-21 1.833323601341425093e-24 1.727091383319467419e-28 1.213587476452479754e-33 2.946435286826509386e-40 9.113040960501479293e-49 9.847741138109227648e-60 6.948374209996314716e-74 3.638160493899103985e-92 8.431401050822781567e-116 2.236138245108033691e-146 5.938241986391394479e-186 3.391122115811455051e-237 1.448130341644496882e-303
1.333521432163323972e+00 1.664135037875574297e-23 1.167668571909721972e-08 4.363594592153782644e-08 6.115948850232347801e-09 3.431065472014962909e-13 1.281007445940630201e-11 2.185757729203965765e-10 1.935400987572182531e-09 1.002083811214404756e-08 3.360359451730292348e-08 7.924784236086195463e-08 1.403225338210098769e-07 1.966709637259103851e-07 2.278322986829700973e-07 2.260090931124068197e-07 1.975345466920678154e-07 1.555405332914037684e-07 1.121978159477959871e-07 7.501400205638875004e-08 4.681657479940831942e-08 2.734990380974996713e-08 1.493311036296802484e-08 7.574998157506394637e-09 3.531138957498182092e-09 1.487778670812235605e-09 5.534482160217577872e-10 1.760730193496033723e-10 4.591396219693739532e-11 9.279756235439507111e-12 1.351038953528188922e-12 1.287884968341436090e-13 7.099521773538144024e-15 1.926005331127055204e-16 2.085512655951372458e-18 6.869029257122280143e-21 4.837866278350858955e-24 4.613268188041128308e-28 3.293035900718362870e-33 8.160655759423769090e-40 2.592741427674577256e-48 2.902733494450177808e-59 2.146486173352655447e-73 1.196451519070667010e-91 3.015725919541014393e-115 8.960635696353034655e-146 2.778224331713271212e-185 1.962414166126216929e-236 1.123649872575893273e-302
1.539926526059492096e+00 1.664135037892171395e-23 1.167668571909721972e-08 4.850027314887899928e-08 2.483947485324638440e-08 3.592640999803504509e-10 1.281068039722873727e-11 2.186630902110273042e-10 1.939775123563111375e-09 1.011116795187979453e-08 3.449976054301742450e-08 8.413287402943715695e-08 1.567464425133542519e-07 2.341972038683768916e-07 2.909112763662462190e-07 3.091264497418581887e-07 2.877769025048615857e-07 2.394333679822735150e-07 1.809324529447206949e-07 1.256935796689207602e-07 8.092082330638400002e-08 4.846577462444978764e-08 2.699287803499889818e-08 1.391010978173245277e-08 6.566188282440024647e-09 2.794495412659518682e-09 1.048065059687450010e-09 3.356998832716864431e-10 8.805215121023362981e-11 1.789056882322800172e-11 2.617917319100134167e-12 2.508547960351532134e-13 1.390731659331124007e-14 3.797730890951844224e-16 4.144931918741893299e-18 1.378703932011887396e-20 9.832144639887071970e-24 9.527492778791359735e-28 6.944502915124226932e-33 1.768782420779147592e-39 5.826939899253646185e-48 6.845823477794314754e-59 5.400217956335443960e-73 3.284500391011813292e-91 9.321286105540896834e-115 3.257153265537626465e-145 1.261285306599648556e-184 1.208000729213057571e-235 1.046960270807408288e-301
1.778279410038922981e+00 1.664135037892171395e-23 1.167668571909721972e-08 4.850027314887899928e-08 4.025003886629628830e-08 6.561348773285668919e-09 1.281068077233453017e-11 2.186633433343567386e-10 1.939820032692644075e-09 1.011375920747124396e-08 3.455892103386298418e-08 8.476456882317279636e-08 1.603828173864635588e-07 2.469258697971942151e-07 3.208540391372111896e-07 3.604732314415532118e-07 3.562596986770602270e-07 3.141608603091934408e-07 2.502779548622412432e-07 1.820139272785363335e-07 1.217735890746416621e-07 7.527649742883257960e-08 4.301387837479730709e-08 2.262817457035579760e-08 1.085986684472066603e-08 4.683912982440439076e-09 1.775876755837275724e-09 5.739824259364340743e-10 1.517245532791833880e-10 3.104339165925668905e-11 4.572875875901320149e-12 4.411617079775216100e-13 2.463860902080219345e-14 6.785384594224126692e-16 7.481508926146415322e-18 2.520193682889318905e-20 1.826365104533352536e-23 1.806862263009718688e-27 1.353178944814014696e-32 3.571982573419756959e-39 1.234002136737781552e-47 1.545103331826519241e-58 1.328174047709006787e-72 9.076858848497824639e-91 3.018970379319595765e-114 1.309293864023313533e-144 6.794415212596498149e-184 9.643526481038057549e-235 1.410095236661988627e-300
2.053525026457146296e+00 1.664135037892171395e-23 1.167668571909721972e-08 4.850027314887899928e-08 4.170373505648521164e-08 2.211937120655650844e-08 6.707283470429865884e-10 2.186633434529203356e-10 1.939820140666679274e-09 1.011378254265230494e-08 3.456046259150613062e-08 8.480334557010446122e-08 1.608274933639260942e-07 2.496249258095102408e-07 3.306762448493313456e-07 3.842241614177038573e-07 3.977298417333067114e-07 3.700080421517186427e-07 3.113314438418030640e-07 2.383386160745465335e-07 1.668805861880519065e-07 1.072447451094232961e-07 6.329318536420414867e-08 3.418940055353925811e-08 1.676510529813267655e-08 7.358251210801517451e-09 2.829968534480121625e-09 9.256093784744761884e-10 2.471750888126882284e-10 5.103515993625972060e-11 7.582752572398715336e-12 7.379154192391500351e-13 4.159957572880115840e-14 1.157951656383831938e-15 1.293197463105695154e-17 4.425902524355821182e-20 3.272755710660393682e-23 3.323358225042772188e-27 2.575403630874139502e-32 7.112715528789923180e-39 2.610017042468323201e-47 3.543909574247571278e-58 3.398545077358578565e-72 2.693081682103908551e-90 1.093949189498995939e-113 6.206006122453957277e-144 4.605436151672839616e-183 1.048024873838550794e-233 2.845328271466243090e-299
2.371373705661655507e+00 1.664135037892171395e-23 1.167668571909721972e-08 4.850027314887899928e-08 4.170373505648521164e-08 3.205054367692717529e-08 6.891851803373484584e-09 2.186633434529255055e-10 1.939820140705514577e-09 1.011378258957041446e-08 3.456047482459192633e-08 8.480426579207155150e-08 1.608529136088020124e-07 2.499373175020793437e-07 3.326719918836367314e-07 3.917615558655356258e-07 4.164271533837257507e-07 4.031659620957444151e-07 3.562759785061281062e-07 2.873648815064580700e-07 2.116088906419486126e-07 1.423252874434719688e-07 8.737143465069437087e-08 4.878544139484330462e-08 2.458697504599446711e-08 1.103692648315073581e-08 4.324160749556683632e-09 1.436333736455692226e-09 3.886542112678410609e-10 8.119305525479505358e-11 1.219673537971075213e-11 1.199992469207480993e-12 6.844272344863907309e-14 1.930472870721142192e-15 2.190080507757086418e-17 7.642257861118239313e-20 5.791892947589127226e-23 6.071583068624287033e-27 4.905494225900189290e-32 1.431718487007884482e-38 5.655409676109539356e-47 8.476240827451858599e-58 9.281963279701908871e-72 8.787773421723729223e-90 4.526183124631505501e-113 3.516060791259646745e-143 3.943290947458690440e-182 1.539236186876506143e-232 8.443864617037531171e-298
2.738419634264361413e+00 1.664135037892171395e-23 1.167668571909721972e-08 4.850027314887899928e-08 4.170373505648521164e-08 3.268925792292632670e-08 1.858831276080630442e-08 1.294787580173133665e-09 1.939820140705515818e-09 1.011378258958352858e-08 3.456047484528907714e-08 8.480427224769782184e-08 1.608534639154490986e-07 2.499539610883942476e-07 3.328906927016098647e-07 3.932292562582130002e-07 4.221677720803027391e-07 4.177378172070221078e-07 3.824403296705468607e-07 3.229175233389066142e-07 2.501038115389580150e-07 1.768230307179447001e-07 1.136385480639466506e-07 6.604881664990710429e-08 3.444114520114084465e-08 1.590696140593439790e-08 6.381534880363309110e-09 2.162154999372922614e-09 5.950307107573317452e-10 1.261754277633206932e-10 1.921760521360405126e-11 1.916612361559018641e-12 1.108863264446494263e-13 3.177879708122452998e-15 3.673575435259913015e-17 1.311759725863372363e-19 1.023503880087506354e-22 1.113947218760967408e-26 9.452745461069109799e-32 2.943639108078877210e-38 1.267379369822120188e-46 2.130638679388196182e-57 2.718614040637019986e-71 3.152448830498443977e-89 2.121078534685799799e-112 2.338008650240018998e-142 4.137318026455000423e-181 2.922767087134546372e-231 3.467393704902321830e-296
3.162277660168379523e+00 1.664135037892171395e-23 1.167668571909721972e-08 4.850027314887899928e-08 4.170373505648521164e-08 3.268925792292632670e-08 2.447238506719872294e-08 7.342707107555971547e-09 1.939820140705515818e-09 1.011378258958352858e-08 3.456047484529361009e-08 8.480427225692122978e-08 1.608534673327831690e-07 2.499542898547696723e-07 3.329015494297427785e-07 3.933814640631404394e-07 4.232384866233540821e-07 4.220642738023717564e-07 3.936439181318855127e-07 3.432051066819114404e-07 2.775983029386752209e-07 2.061772207577963698e-07 1.392560335043218024e-07 8.477360821590443271e-08 4.605428370010131583e-08 2.203195697699584367e-08 9.105409344477722474e-09 3.163382724890808777e-09 8.894104651813333303e-10 1.921721386598859190e-10 2.977634875899690115e-11 3.019381142172027832e-12 1.777036185965713340e-13 5.189478779827119842e-15 6.131455597655401109e-17 2.248261877459318878e-19 1.813513993225855288e-22 2.059707103298575240e-26 1.847496191334619572e-31 6.187917931436819977e-38 2.933058317965442539e-46 5.598719560176647201e-57 8.445731745104864450e-71 1.219927672088494113e-88 1.093355786249117152e-111 1.749633509504658709e-141 5.022353562312958778e-180 6.645187125145000249e-230 1.779657708933794855e-294
3.651741272548377548e+00 1.664135037892171395e-23 1.167668571909721972e-08 4.850027314887899928e-08 4.170373505648521164e-08 3.268925792292632670e-08 2.453374153857687995e-08 1.605280496083425424e-08 3.268990471152440566e-09 1.011378258958352858e-08 3.456047484529361009e-08 8.480427225692281797e-08 1.608534673369073724e-07 2.499542916601418370e-07 3.329017448303357539e-07 3.933884933587909177e-07 4.233434127042936748e-07 4.228361988618631364e-07 3.968570763217841133e-07 3.516619535864239952e-07 2.929666377755049181e-07 2.268161421444225551e-07 1.607997660685668493e-07 1.028809242312695966e-07 5.857770358111265584e-08 2.922511417147533036e-08 1.252633443675470497e-08 4.489684833085206625e-09 1.296519234918954901e-09 2.867524917471756409e-10 4.537852859236074764e-11 4.694567808700670799e-12 2.819338763897941468e-13 8.414049189834994429e-15 1.019043081510298610e-16 3.848797857090279076e-19 3.220457430427669950e-22 3.831905915650886656e-26 3.649817420361521473e-31 1.321883147176423489e-37 6.940346209630780465e-46 1.514401578080206688e-56 2.720119948173192656e-70 4.929881990536252914e-88 5.929417607609845989e-111 1.388430158262914676e-140 6.521829498568112294e-179 1.632159965768274750e-228 9.976465508497281210e-293
